Date,Price,Risk,,,,,,,,,,,,,,,,,,,,,,,
2011-04-05,0.75,0.227,,,,,,,,,,,,,,,,,,,,,,,
2011-04-06,0.77,0.23,,,,,,,,,,,,,,,,,,,,,,,
2011-04-07,0.8,0.235,,,,,,,,,,,,,,,,,,,,,,,
2011-04-08,0.77,0.229,,,,,,,,,,,,,,,,,,,,,,,
2011-04-09,0.76,0.227,,,,,,,,,,,,,,,,,,,,,,,
2011-04-10,0.78,0.231,,,,,,,,,,,,,,,,,,,,,,,
2011-04-11,0.9,0.25,,,,,,,,,,,,,,,,,,,,,,,
2011-04-12,1,0.266,,,,,,,,,,,,,,,,,,,,,,,
2011-04-13,0.94,0.255,,,,,,,,,,,,,,,,,,,,,,,
2011-04-14,1.09,0.277,,,,,,,,,,,,,,,,,,,,,,,
2011-04-15,1.09,0.277,,,,,,,,,,,,,,,,,,,,,,,
2011-04-16,1.08,0.275,,,,,,,,,,,,,,,,,,,,,,,
2011-04-17,1.2,0.29,,,,,,,,,,,,,,,,,,,,,,,
2011-04-18,1.19,0.288,,,,,,,,,,,,,,,,,,,,,,,
2011-04-19,1.2,0.288,,,,,,,,,,,,,,,,,,,,,,,
2011-04-20,1.2,0.286,,,,,,,,,,,,,,,,,,,,,,,
2011-04-21,1.33,0.303,,,,,,,,,,,,,,,,,,,,,,,
2011-04-22,1.55,0.329,,,,,,,,,,,,,,,,,,,,,,,
2011-04-23,1.95,0.371,,,,,,,,,,,,,,,,,,,,,,,
2011-04-24,1.7,0.342,,,,,,,,,,,,,,,,,,,,,,,
2011-04-25,1.73,0.343,,,,,,,,,,,,,,,,,,,,,,,
2011-04-26,1.95,0.365,,,,,,,,,,,,,,,,,,,,,,,
2011-04-27,2.65,0.428,,,,,,,,,,,,,,,,,,,,,,,
2011-04-28,2.7,0.428,,,,,,,,,,,,,,,,,,,,,,,
2011-04-29,4.15,0.533,,,,,,,,,,,,,,,,,,,,,,,
2011-04-30,4.09,0.522,,,,,,,,,,,,,,,,,,,,,,,
2011-05-01,3.5,0.474,,,,,,,,,,,,,,,,,,,,,,,
2011-05-02,3.49,0.468,,,,,,,,,,,,,,,,,,,,,,,
2011-05-03,3.58,0.469,,,,,,,,,,,,,,,,,,,,,,,
2011-05-04,3.5,0.458,,,,,,,,,,,,,,,,,,,,,,,
2011-05-05,3.6,0.46,,,,,,,,,,,,,,,,,,,,,,,
2011-05-06,3.7,0.462,,,,,,,,,,,,,,,,,,,,,,,
2011-05-07,3.9,0.471,,,,,,,,,,,,,,,,,,,,,,,
2011-05-08,3.94,0.468,,,,,,,,,,,,,,,,,,,,,,,
2011-05-09,5.2,0.536,,,,,,,,,,,,,,,,,,,,,,,
2011-05-10,6.07,0.573,,,,,,,,,,,,,,,,,,,,,,,
2011-05-11,5.95,0.558,,,,,,,,,,,,,,,,,,,,,,,
2011-05-12,8.45,0.659,,,,,,,,,,,,,,,,,,,,,,,
2011-05-13,8.9,0.662,,,,,,,,,,,,,,,,,,,,,,,
2011-05-14,8.55,0.635,,,,,,,,,,,,,,,,,,,,,,,
2011-05-15,8.5,0.621,,,,,,,,,,,,,,,,,,,,,,,
2011-05-16,8.39,0.606,,,,,,,,,,,,,,,,,,,,,,,
2011-05-17,7.87,0.576,,,,,,,,,,,,,,,,,,,,,,,
2011-05-18,7.34,0.546,,,,,,,,,,,,,,,,,,,,,,,
2011-05-19,7.1,0.529,,,,,,,,,,,,,,,,,,,,,,,
2011-05-20,6.6,0.502,,,,,,,,,,,,,,,,,,,,,,,
2011-05-21,6.61,0.496,,,,,,,,,,,,,,,,,,,,,,,
2011-05-22,7.45,0.523,,,,,,,,,,,,,,,,,,,,,,,
2011-05-23,7.2,0.507,,,,,,,,,,,,,,,,,,,,,,,
2011-05-24,7.51,0.512,,,,,,,,,,,,,,,,,,,,,,,
2011-05-25,9.33,0.566,,,,,,,,,,,,,,,,,,,,,,,
2011-05-26,8.92,0.545,,,,,,,,,,,,,,,,,,,,,,,
2011-05-27,8.73,0.531,,,,,,,,,,,,,,,,,,,,,,,
2011-05-28,8.5,0.517,,,,,,,,,,,,,,,,,,,,,,,
2011-05-29,9,0.526,,,,,,,,,,,,,,,,,,,,,,,
2011-05-30,9.5,0.534,,,,,,,,,,,,,,,,,,,,,,,
2011-05-31,9.39,0.524,,,,,,,,,,,,,,,,,,,,,,,
2011-06-01,10.57,0.55,,,,,,,,,,,,,,,,,,,,,,,
2011-06-02,14.3,0.635,,,,,,,,,,,,,,,,,,,,,,,
2011-06-03,17.41,0.69,,,,,,,,,,,,,,,,,,,,,,,
2011-06-04,19,0.705,,,,,,,,,,,,,,,,,,,,,,,
2011-06-05,19.23,0.694,,,,,,,,,,,,,,,,,,,,,,,
2011-06-06,19.06,0.676,,,,,,,,,,,,,,,,,,,,,,,
2011-06-07,31.91,0.858,,,,,,,,,,,,,,,,,,,,,,,
2011-06-08,31.5,0.825,,,,,,,,,,,,,,,,,,,,,,,
2011-06-09,35,0.844,,,,,,,,,,,,,,,,,,,,,,,
2011-06-10,30,0.757,,,,,,,,,,,,,,,,,,,,,,,
2011-06-11,24.99,0.672,,,,,,,,,,,,,,,,,,,,,,,
2011-06-12,24.5,0.652,,,,,,,,,,,,,,,,,,,,,,,
2011-06-13,20.99,0.59,,,,,,,,,,,,,,,,,,,,,,,
2011-06-14,20,0.566,,,,,,,,,,,,,,,,,,,,,,,
2011-06-15,19.96,0.557,,,,,,,,,,,,,,,,,,,,,,,
2011-06-16,19.39,0.541,,,,,,,,,,,,,,,,,,,,,,,
2011-06-17,17.2,0.501,,,,,,,,,,,,,,,,,,,,,,,
2011-06-18,18.88,0.521,,,,,,,,,,,,,,,,,,,,,,,
2011-06-19,17.35,0.492,,,,,,,,,,,,,,,,,,,,,,,
2011-06-20,15.5,0.458,,,,,,,,,,,,,,,,,,,,,,,
2011-06-21,15.05,0.446,,,,,,,,,,,,,,,,,,,,,,,
2011-06-22,16,0.457,,,,,,,,,,,,,,,,,,,,,,,
2011-06-23,16.75,0.464,,,,,,,,,,,,,,,,,,,,,,,
2011-06-24,17.6,0.472,,,,,,,,,,,,,,,,,,,,,,,
2011-06-25,17.51,0.466,,,,,,,,,,,,,,,,,,,,,,,
