total,ticker,put_call
614,TSLA,PUT
498,TSLA,CALL
274,SPY,PUT
262,AMZN,CALL
230,QQQ,PUT
210,AAPL,CALL
198,ZS,PUT
195,IWM,PUT
183,GOOG,CALL
171,SPY,CALL
169,ARKK,PUT
162,AMZN,PUT
150,NVDA,CALL
148,AAPL,PUT
139,NVDA,PUT
116,GOOGL,CALL
109,GOOGL,PUT
106,SQ,PUT
99,MSFT,CALL
96,GOOG,PUT
88,TQQQ,CALL
87,RGEN,PUT
87,SHOP,PUT
86,PANW,CALL
83,ADBE,PUT
82,FB,CALL
81,QQQ,CALL
78,SHOP,CALL
78,DWAC,PUT
77,C,PUT
74,PFE,CALL
71,UAL,CALL
71,CHWY,PUT
68,BABA,CALL
68,IWM,CALL
66,MSFT,PUT
66,CRM,PUT
63,BABA,PUT
58,CRWD,CALL
56,OKTA,PUT
56,NET,PUT
54,NFLX,CALL
49,QCOM,CALL
48,TLT,PUT
48,ADBE,CALL
47,AMD,CALL
47,C,CALL
47,XLNX,CALL
47,COIN,CALL
46,UBER,CALL
44,UPST,PUT
44,MELI,PUT
44,MRNA,CALL
42,GME,PUT
42,NVAX,CALL
42,AMD,PUT
42,BA,CALL
41,SE,PUT
40,NFLX,PUT
39,INTC,CALL
38,SOFI,CALL
38,AFRM,PUT
38,CRWD,PUT
38,CRM,CALL
37,COIN,PUT
37,UPST,CALL
37,NET,CALL
36,F,CALL
36,AVGO,PUT
36,DDOG,CALL
35,FB,PUT
35,CVNA,PUT
35,PYPL,CALL
35,ZM,PUT
34,EL,CALL
34,ROKU,PUT
33,ACN,CALL
33,UNH,CALL
32,LRCX,CALL
32,ABBV,CALL
32,SE,CALL
32,DOCU,PUT
32,TTD,PUT
32,GS,CALL
31,ZS,CALL
31,MS,PUT
31,JPM,CALL
31,ENPH,PUT
30,PLTR,PUT
30,ESSC,CALL
30,CGC,PUT
30,F,PUT
29,MSTR,CALL
29,BYND,PUT
29,INTU,CALL
29,XOP,PUT
28,MU,CALL
28,ROKU,CALL
28,AVGO,CALL
28,ARKF,PUT
28,XBI,PUT
28,CAT,CALL
27,MDB,PUT
27,DKNG,PUT
27,XLK,CALL
27,NIO,PUT
27,ASML,CALL
27,LAZR,PUT
27,COST,CALL
27,NIO,CALL
27,PTON,CALL
27,TQQQ,PUT
27,WMT,CALL
26,MELI,CALL
26,TLRY,PUT
26,RUN,PUT
26,RIVN,PUT
26,V,CALL
25,SNOW,PUT
25,DIS,CALL
25,AMC,PUT
25,SLV,PUT
25,PG,CALL
25,PLTR,CALL
25,RBLX,PUT
25,DIS,PUT
25,SMH,CALL
25,AFRM,CALL
24,ETSY,PUT
24,MRNA,PUT
24,ZIM,CALL
24,RBLX,CALL
24,BA,PUT
23,DOCU,CALL
23,QCOM,PUT
23,SQ,CALL
23,TDOC,CALL
23,DOCN,CALL
23,ABNB,CALL
22,GOLD,CALL
22,JD,CALL
22,NVAX,PUT
22,FXI,CALL
22,ARKK,CALL
22,KRE,PUT
22,GNRC,PUT
21,GM,CALL
21,BAC,CALL
21,SNOW,CALL
20,SOXL,CALL
20,XLF,CALL
20,INTU,PUT
20,MARA,PUT
20,DIA,PUT
20,BKKT,PUT
20,PLUG,CALL
20,CVS,CALL
20,ENPH,CALL
20,HOOD,CALL
20,MU,PUT
19,MSTR,PUT
19,ASAN,PUT
19,GRAB,CALL
19,NOW,PUT
19,XLE,CALL
19,HD,PUT
19,RIVN,CALL
19,TSM,PUT
19,LCID,CALL
19,AMAT,CALL
19,UAL,PUT
19,ATVI,CALL
19,LOW,CALL
19,MARA,CALL
19,BKNG,CALL
19,FUTU,PUT
19,ZM,CALL
18,RUN,CALL
18,GME,CALL
18,DIA,CALL
18,EWZ,PUT
18,VIAC,CALL
18,KO,CALL
18,COST,PUT
18,HD,CALL
18,TTD,CALL
18,ETSY,CALL
18,CPRI,CALL
18,RACE,CALL
17,GLD,PUT
17,SNAP,CALL
17,MRVL,CALL
17,SPOT,CALL
17,LCID,PUT
17,HUBS,CALL
17,BKNG,PUT
17,CCL,PUT
17,MA,CALL
17,JD,PUT
17,BNTX,CALL
17,BX,CALL
17,PYPL,PUT
16,COTY,CALL
16,T,CALL
16,SLV,CALL
16,LLY,PUT
16,TDOC,PUT
16,LABU,CALL
16,ROM,CALL
16,GLD,CALL
15,HOOD,PUT
15,GM,PUT
15,AA,CALL
15,FDX,PUT
15,EEM,PUT
15,EWZ,CALL
15,DOCN,PUT
15,WYNN,PUT
15,UNG,CALL
15,BAC,PUT
15,WFC,CALL
15,BMY,CALL
15,LOW,PUT
15,SQQQ,CALL
14,CVX,CALL
14,RKLB,CALL
14,CI,CALL
14,TSM,CALL
14,BNTX,PUT
14,USO,PUT
14,TXN,CALL
14,JNJ,CALL
14,PTON,PUT
14,ORCL,CALL
14,SPOT,PUT
14,XOM,CALL
14,GILD,CALL
14,NKE,CALL
14,MET,PUT
14,HYG,PUT
14,BITO,PUT
13,LMND,PUT
13,HAL,PUT
13,U,CALL
13,GS,PUT
13,CMG,CALL
13,XBI,CALL
13,AZO,CALL
13,NOW,CALL
13,INMD,CALL
13,ZIM,PUT
13,HTZ,CALL
13,DKNG,CALL
13,HUM,CALL
13,USO,CALL
13,RIOT,PUT
13,TWLO,PUT
13,NUE,CALL
13,PLUG,PUT
12,PINS,CALL
12,XLI,PUT
12,BX,PUT
12,KRE,CALL
12,XLE,PUT
12,X,PUT
12,V,PUT
12,RH,CALL
12,TMO,CALL
12,XLF,PUT
12,DDOG,PUT
12,SNAP,PUT
12,BLK,PUT
12,LULU,PUT
12,LVS,PUT
12,REGN,CALL
12,MSCI,PUT
12,UBER,PUT
12,LULU,CALL
12,MRK,PUT
11,AMC,CALL
11,TWTR,CALL
11,EVBG,CALL
11,TBT,CALL
11,GE,CALL
11,AAL,PUT
11,MS,CALL
11,SMH,PUT
11,AAL,CALL
11,MA,PUT
11,SNPS,CALL
11,TGT,CALL
11,WYNN,CALL
11,GOLD,PUT
11,RKT,CALL
11,FCX,PUT
11,CSCO,CALL
11,WKHS,PUT
11,NTNX,PUT
10,STNG,CALL
10,CMG,PUT
10,BYND,CALL
10,VIAC,PUT
10,SPXL,CALL
10,NCLH,CALL
10,IWP,PUT
10,SPXU,CALL
10,SYK,PUT
10,WMT,PUT
10,PINS,PUT
10,SOFI,PUT
10,XOP,CALL
10,TNA,CALL
10,MT,CALL
10,UNH,PUT
10,SEDG,PUT
10,IYR,PUT
10,DAL,PUT
10,GSL,PUT
10,BIIB,PUT
10,LUV,PUT
10,KWEB,PUT
10,GE,PUT
10,MRVL,PUT
10,INTC,PUT
10,SAVA,CALL
10,LEN,CALL
10,M,CALL
10,TITN,CALL
9,FCX,CALL
9,ABNB,PUT
9,ORCL,PUT
9,CAT,PUT
9,SEAH,CALL
9,IWD,PUT
9,GDX,PUT
9,DVN,CALL
9,EEM,CALL
9,SPCE,PUT
9,AUPH,CALL
9,DASH,PUT
9,QS,PUT
9,XLNX,PUT
9,SPLK,PUT
9,FXI,PUT
9,Z,PUT
9,ABT,CALL
9,JPM,PUT
9,CCI,CALL
9,QLD,CALL
9,KLAC,CALL
9,BIDU,CALL
9,TEAM,CALL
9,WDAY,PUT
9,XLK,PUT
8,CCJ,PUT
8,ENVX,CALL
8,DXCM,PUT
8,MTCH,PUT
8,JOBS,CALL
8,FANG,CALL
8,ONON,PUT
8,BEKE,CALL
8,CHTR,PUT
8,PANW,PUT
8,IBM,CALL
8,COF,CALL
8,KWEB,CALL
8,IRBT,PUT
8,BHC,PUT
8,AMAT,PUT
8,CVE,CALL
8,BILL,CALL
8,AIG,CALL
8,TLRY,CALL
8,ZI,CALL
8,BP,CALL
8,EXPE,PUT
8,TEAM,PUT
8,NKE,PUT
8,PENN,PUT
8,SI,PUT
8,GH,PUT
8,TNA,PUT
8,BITO,CALL
7,WFC,PUT
7,OSTK,PUT
7,SCHW,CALL
7,DKS,PUT
7,PEP,CALL
7,EFA,PUT
7,KSS,CALL
7,FDX,CALL
7,MDB,CALL
7,TER,CALL
7,XLY,PUT
7,ZBRA,CALL
7,EQT,CALL
7,ALGN,CALL
7,OIH,PUT
7,APPN,PUT
7,FTNT,CALL
7,DE,PUT
7,LYV,CALL
7,GREE,PUT
7,WIX,PUT
7,TWTR,PUT
7,GDX,CALL
7,XRT,PUT
7,NVO,CALL
7,BIDU,PUT
7,DE,CALL
7,LVS,CALL
7,MTTR,CALL
7,ET,CALL
7,CL,CALL
7,XLY,CALL
7,XPEV,CALL
7,SLB,CALL
7,INSP,CALL
7,TLT,CALL
7,LIT,CALL
7,RDW,PUT
7,MAR,CALL
7,TEVA,PUT
7,TZA,CALL
7,DWAC,CALL
7,LAD,PUT
6,STX,CALL
6,JETS,PUT
6,OPAD,PUT
6,REAL,CALL
6,CZR,PUT
6,OXY,CALL
6,VALE,PUT
6,RCL,CALL
6,KRBN,CALL
6,CDNS,CALL
6,ILMN,CALL
6,TAN,PUT
6,BHP,PUT
6,DHI,CALL
6,PDD,PUT
6,LAC,CALL
6,ISRG,CALL
6,SBUX,CALL
6,TWLO,CALL
6,NCR,CALL
6,SI,CALL
6,VZ,PUT
6,OPEN,CALL
6,DG,CALL
6,BBY,PUT
6,CORT,PUT
6,MRK,CALL
6,SOXL,PUT
6,BLDP,CALL
6,FAS,CALL
6,WB,PUT
6,VST,CALL
6,ASML,PUT
6,OSTK,CALL
6,X,CALL
6,IAA,CALL
6,NEE,CALL
6,DAL,CALL
6,MT,PUT
6,KO,PUT
6,XPEV,PUT
6,W,PUT
6,ARKW,PUT
6,PRU,CALL
6,PLBY,PUT
6,ISRG,PUT
6,LYFT,PUT
6,IONQ,PUT
6,TECL,CALL
6,VZ,CALL
6,DT,CALL
6,CHPT,CALL
6,IWO,PUT
5,CZR,CALL
5,XPDI,PUT
5,SAM,PUT
5,ESTC,CALL
5,AXSM,PUT
5,HBM,CALL
5,EXPE,CALL
5,MGM,PUT
5,BLK,CALL
5,ZEN,CALL
5,XLV,CALL
5,DCP,CALL
5,MTTR,PUT
5,SPG,PUT
5,DOW,PUT
5,HON,CALL
5,ARWR,PUT
5,MP,CALL
